sensor,grams,trial,distance_cm,file,sd_cm,n_samples
IR,0.2,1,10,IR_0.2g_TRIAL1_10cm.csv,0.0185,333
IR,0.2,1,20,IR_0.2g_TRIAL1_20cm.csv,0.0349,333
IR,0.2,1,30,IR_0.2g_TRIAL1_30cm.csv,0.1254,333
IR,0.2,1,40,IR_0.2g_TRIAL1_40cm.csv,0.1907,333
IR,0.2,1,50,IR_0.2g_TRIAL1_50cm.csv,0.2727,333
IR,0.2,1,60,IR_0.2g_TRIAL1_60cm.csv,1.267,333
IR,0.2,2,10,IR_0.2g_TRIAL2_10cm.csv,0.0268,333
IR,0.2,2,20,IR_0.2g_TRIAL2_20cm.csv,0.0322,333
IR,0.2,2,30,IR_0.2g_TRIAL2_30cm.csv,0.07,333
IR,0.2,2,40,IR_0.2g_TRIAL2_40cm.csv,0.2882,333
IR,0.2,2,50,IR_0.2g_TRIAL2_50cm.csv,1.1728,333
IR,0.2,2,60,IR_0.2g_TRIAL2_60cm.csv,1.3098,333
IR,0.2,3,10,IR_0.2g_TRIAL3_10cm.csv,0.0239,333
IR,0.2,3,20,IR_0.2g_TRIAL3_20cm.csv,0.0356,333
IR,0.2,3,30,IR_0.2g_TRIAL3_30cm.csv,0.085,333
IR,0.2,3,40,IR_0.2g_TRIAL3_40cm.csv,0.256,333
IR,0.2,3,50,IR_0.2g_TRIAL3_50cm.csv,0.7575,333
IR,0.2,3,60,IR_0.2g_TRIAL3_60cm.csv,1.2527,333
IR,0.8,1,10,IR_0.8g_TRIAL1_10cm.csv,0.0158,333
IR,0.8,1,20,IR_0.8g_TRIAL1_20cm.csv,1.0332,333
IR,0.8,1,30,IR_0.8g_TRIAL1_30cm.csv,0.3557,333
IR,0.8,1,40,IR_0.8g_TRIAL1_40cm.csv,0.5475,333
IR,0.8,1,50,IR_0.8g_TRIAL1_50cm.csv,0.9877,333
IR,0.8,1,60,IR_0.8g_TRIAL1_60cm.csv,1.2518,333
IR,0.8,2,10,IR_0.8g_TRIAL2_10cm.csv,0.0159,333
IR,0.8,2,20,IR_0.8g_TRIAL2_20cm.csv,0.1101,333
IR,0.8,2,30,IR_0.8g_TRIAL2_30cm.csv,0.4859,333
IR,0.8,2,40,IR_0.8g_TRIAL2_40cm.csv,4.4542,333
IR,0.8,2,50,IR_0.8g_TRIAL2_50cm.csv,0.8973,333
IR,0.8,2,60,IR_0.8g_TRIAL2_60cm.csv,1.1725,333
IR,0.8,3,10,IR_0.8g_TRIAL3_10cm.csv,0.0127,333
IR,0.8,3,20,IR_0.8g_TRIAL3_20cm.csv,0.1121,333
IR,0.8,3,30,IR_0.8g_TRIAL3_30cm.csv,1.0593,333
IR,0.8,3,40,IR_0.8g_TRIAL3_40cm.csv,5.8938,333
IR,0.8,3,50,IR_0.8g_TRIAL3_50cm.csv,0.834,333
IR,0.8,3,60,IR_0.8g_TRIAL3_60cm.csv,1.3269,333
VL5,0.2,1,10,VL5_0.2g_TRIAL1_10cm.csv,0.1179,1052
VL5,0.2,1,20,VL5_0.2g_TRIAL1_20cm.csv,0.1086,1052
VL5,0.2,1,30,VL5_0.2g_TRIAL1_30cm.csv,0.1973,1036
VL5,0.2,1,40,VL5_0.2g_TRIAL1_40cm.csv,0.2331,1036
VL5,0.2,1,50,VL5_0.2g_TRIAL1_50cm.csv,0.2498,1040
VL5,0.2,1,60,VL5_0.2g_TRIAL1_60cm.csv,0.2889,1036
VL5,0.2,2,10,VL5_0.2g_TRIAL2_10cm.csv,0.1097,1036
VL5,0.2,2,20,VL5_0.2g_TRIAL2_20cm.csv,0.1243,1056
VL5,0.2,2,30,VL5_0.2g_TRIAL2_30cm.csv,0.1585,1052
VL5,0.2,2,40,VL5_0.2g_TRIAL2_40cm.csv,0.2322,1052
VL5,0.2,2,50,VL5_0.2g_TRIAL2_50cm.csv,0.2427,1056
VL5,0.2,2,60,VL5_0.2g_TRIAL2_60cm.csv,0.2905,1052
VL5,0.2,3,10,VL5_0.2g_TRIAL3_10cm.csv,0.107,1024
VL5,0.2,3,20,VL5_0.2g_TRIAL3_20cm.csv,0.1086,1032
VL5,0.2,3,30,VL5_0.2g_TRIAL3_30cm.csv,0.164,1040
VL5,0.2,3,40,VL5_0.2g_TRIAL3_40cm.csv,0.214,1056
VL5,0.2,3,50,VL5_0.2g_TRIAL3_50cm.csv,0.2392,1040
VL5,0.2,3,60,VL5_0.2g_TRIAL3_60cm.csv,0.3113,1056
VL5,0.8,1,10,VL5_0.8g_TRIAL1_10cm.csv,0.1117,1048
VL5,0.8,1,20,VL5_0.8g_TRIAL1_20cm.csv,0.1086,1036
VL5,0.8,1,30,VL5_0.8g_TRIAL1_30cm.csv,0.1728,1040
VL5,0.8,1,40,VL5_0.8g_TRIAL1_40cm.csv,0.2136,1036
VL5,0.8,1,50,VL5_0.8g_TRIAL1_50cm.csv,0.2608,1048
VL5,0.8,1,60,VL5_0.8g_TRIAL1_60cm.csv,0.3014,1044
VL5,0.8,2,10,VL5_0.8g_TRIAL2_10cm.csv,0.1165,1040
VL5,0.8,2,20,VL5_0.8g_TRIAL2_20cm.csv,0.1002,1044
VL5,0.8,2,30,VL5_0.8g_TRIAL2_30cm.csv,0.1595,1052
VL5,0.8,2,40,VL5_0.8g_TRIAL2_40cm.csv,0.2093,1036
VL5,0.8,2,50,VL5_0.8g_TRIAL2_50cm.csv,0.2681,1040
VL5,0.8,2,60,VL5_0.8g_TRIAL2_60cm.csv,0.3016,1048
VL5,0.8,3,10,VL5_0.8g_TRIAL3_10cm.csv,0.1197,1036
VL5,0.8,3,20,VL5_0.8g_TRIAL3_20cm.csv,0.1105,1036
VL5,0.8,3,30,VL5_0.8g_TRIAL3_30cm.csv,0.1666,1040
VL5,0.8,3,40,VL5_0.8g_TRIAL3_40cm.csv,0.2242,1052
